Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
1,1,1,57,803.78313220,1044.91807200,0.00017779,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038106564,0.14290730,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,803.64022490,-5.74481029,-0.34715163,0.08333333,0.000000000,0.004554316
2,1,2,57,803.64022490,1044.73229251,0.00017758,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038092611,0.14270090,0.13791996,0.00000000,0.01364044,0.00000000,0.00000000,803.34596361,-5.74481029,-0.34715163,0.08333333,0.000000000,0.009377819
3,1,3,57,803.34596361,1044.34975284,0.00017738,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038078671,0.14248099,0.13786946,0.00000000,0.01363544,0.00000000,0.00000000,803.05197772,-5.74481029,-0.34715163,0.08333333,0.000000000,0.009478800
4,1,4,57,803.05197772,1043.96757117,0.00017717,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038064744,0.14226145,0.13781902,0.00000000,0.01363045,0.00000000,0.00000000,802.75826680,-5.74481029,-0.34715163,0.08333333,0.000000000,0.009580874
5,1,5,57,802.75826680,1043.58574698,0.00017696,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038050830,0.14204228,0.13776862,0.00000000,0.01362547,0.00000000,0.00000000,802.46483043,-5.74481029,-0.34715163,0.08333333,0.000000000,0.009684052
6,1,6,57,802.46483043,1043.20427970,0.00017675,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038036928,0.14182348,0.13771827,0.00000000,0.01362049,0.00000000,0.00000000,802.17166820,-5.74481029,-0.34715163,0.08333333,0.000000000,0.009788347
7,1,7,57,802.17166820,1042.82316880,0.00017654,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038023040,0.14160504,0.13766796,0.00000000,0.01361551,0.00000000,0.00000000,801.87877969,-5.74481029,-0.34715163,0.08333333,0.000000000,0.009893770
8,1,8,57,801.87877969,1042.44241374,0.00017634,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0038009165,0.14138697,0.13761770,0.00000000,0.01361054,0.00000000,0.00000000,801.58616448,-5.74481029,-0.34715163,0.08333333,0.000000000,0.010000335
9,1,9,57,801.58616448,1042.06201396,0.00017613,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0037995303,0.14116926,0.13756749,0.00000000,0.01360558,0.00000000,0.00000000,801.29382214,-5.74481029,-0.34715163,0.08333333,0.000000000,0.010108052
10,1,10,57,801.29382214,1041.68196893,0.00017592,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0037981454,0.14095192,0.13751733,0.00000000,0.01360061,0.00000000,0.00000000,801.00175228,-5.74481029,-0.34715163,0.08333333,0.000000000,0.010216936
