Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,0,0,0.083333333,356.3726753,356.3726753,463.2844779,-5.012775511,-0.347151629,0,0,0,0,0.076923077,0.999886105,0.999886105,0.999886105,0.016596393,356.3726753,0.040589148,0,0,0,0,0,356.3320862,0.074235851,35.85109114,0.004083268,0,320.4108425,0,0.001293536
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,0,0,0.083333333,0,356.3320862,463.231712,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493647,0.999493647,0.999493647,0.016594502,356.3320862,0.040540114,0.127299759,0,0,0.012590086,0,356.1516562,0.074198262,0,0.018151254,0,-0.223886881,0,0.005750126
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,0,0,0.083333333,0,356.1516562,462.9971531,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493761,0.999493761,0.999493761,0.0165861,356.1516562,0.040478819,0.127235309,0,0,0.012583712,0,355.9713584,0.0741607,0,0.018137963,0,-0.223736866,0,0.005813228
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,0,0,0.083333333,0,355.9713584,462.7627659,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493875,0.999493875,0.999493875,0.016577703,355.9713584,0.040417622,0.127170907,0,0,0.012577342,0,355.7911925,0.074123165,0,0.018124687,0,-0.223587007,0,0.005877025
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,0,0,0.083333333,0,355.7911925,462.5285503,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.99949399,0.99949399,0.99949399,0.016569313,355.7911925,0.040356522,0.127106551,0,0,0.012570978,0,355.6111585,0.074085658,0,0.018111426,0,-0.223437306,0,0.005941524
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,0,0,0.083333333,0,355.6111585,462.294506,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494104,0.999494104,0.999494104,0.016560929,355.6111585,0.040295519,0.127042242,0,0,0.012564617,0,355.4312561,0.074048178,0,0.018098179,0,-0.223287761,0,0.006006732
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,0,0,0.083333333,0,355.4312561,462.0606329,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494218,0.999494218,0.999494218,0.01655255,355.4312561,0.040234613,0.126977981,0,0,0.012558262,0,355.2514852,0.074010726,0,0.009042474,0,-0.232180846,0,0.006072657
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,0,0,0.083333333,0,355.2514852,461.8269308,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494332,0.999494332,0.999494332,0.016544178,355.2514852,0.040173804,0.126913766,0,0,0.012551911,0,355.0718457,0.073973301,0,0.009035866,0,-0.232025005,0,0.006139308
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,0,0,0.083333333,0,355.0718457,461.5933995,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494445,0.999494445,0.999494445,0.016535813,355.0718457,0.04011309,0.126849599,0,0,0.012545565,0,354.8923375,0.073935904,0,0.009029265,0,-0.231869328,0,0.006206692
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,0,0,0.083333333,0,354.8923375,461.3600387,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494559,0.999494559,0.999494559,0.016527453,354.8923375,0.040052474,0.126785478,0,0,0.012539223,0,354.7129603,0.073898533,0,0.009022672,0,-0.231713813,0,0.006274818
11,1,11,57,0.0015996,0.012,0.000112754,0.09,0,0,0,0.083333333,0,354.7129603,461.1268484,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494672,0.999494672,0.999494672,0.016519099,354.7129603,0.039991953,0.126721404,0,0,0.012532886,0,354.5337141,0.07386119,0,0.009016086,0,-0.231558462,0,0.006343693
12,1,12,57,0.0015996,0.012,0.000112641,0.09,0,0,0,0.083333333,0,354.5337141,460.8938283,-5.012775511,-0.347151629,0.000392617,0.005,0,0,0.076923077,0.99299807,0.999494786,0.999494786,0.016510752,354.5337141,0.039916052,0.126608286,0,2.303374315,0.012521699,0,352.0512937,0.07334402,0,0.009009508,0,-0.230858849,0,0.088884404
13,2,1,58,0.0018,0.012,0.000126635,0.09,0.05,0,0.000837177,0.083333333,0,352.0512937,496.096438,-4.524316003,-0.347151629,0.000640763,0,0.0378,0,0.071428571,0.998396148,0.998396148,0.999232683,0.01650241,365.3588326,0.046246382,0.213995508,0.305732222,0,0.020007234,13.3075389,364.7728513,0.075994344,0,0,1.760256469,-2.402224924,1.663442363,1.683896375
14,2,2,58,0.0018,0.012,0.000126508,0.09,0.05,0,0.000837177,0.083333333,0,364.7728513,495.300773,-4.524316003,-0.473467999,0.000564491,0,0,0,0.071428571,0.998472474,0.998472474,0.999309073,0.016489748,364.7728513,0.046126934,0.188225365,0.305249713,0,0.017597888,0,364.2156514,0.075878261,0,0,0,-0.615480272,0,0.017757415
15,2,3,58,0.0018,0.012,0.00012638,0.09,0.05,0,0.000837177,0.083333333,0,364.2156514,494.5441883,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998437978,0.998437978,0.999274548,0.016478354,364.2156514,0.046009584,0.199473831,0.304779821,0,0.018649549,0,363.6467386,0.075759737,0,0,0,-0.626022973,0,0.018343092
16,2,4,58,0.0018,0.012,0.000126253,0.09,0.05,0,0.000837177,0.083333333,0,363.6467386,493.7716995,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998438105,0.998438105,0.999274675,0.0164664,363.6467386,0.045891495,0.199162265,0.304303773,0,0.01862042,0,363.0787606,0.075641408,0,0,0,-0.624998942,0,0.018527486
17,2,5,58,0.0018,0.012,0.000126126,0.09,0.05,0,0.000837177,0.083333333,0,363.0787606,493.0004801,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998438232,0.998438232,0.999274802,0.016454457,363.0787606,0.045773716,0.198851211,0.303828507,0,0.018591338,0,362.5117159,0.075523274,0,0,0,-0.623976708,0,0.018713737
18,2,6,58,0.0018,0.012,0.000125999,0.09,0.05,0,0.000837177,0.083333333,0,362.5117159,492.2305277,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998438359,0.998438359,0.999274929,0.016442524,362.5117159,0.045656244,0.198540667,0.303354022,0,0.018562304,0,361.9456026,0.075405334,0,0,0,-0.622956267,0,0.018901864
19,2,7,58,0.0018,0.012,0.000125872,0.09,0.05,0,0.000837177,0.083333333,0,361.9456026,491.4618402,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998438485,0.998438485,0.999275056,0.016430602,361.9456026,0.04553908,0.198230634,0.302880316,0,0.018533318,0,361.3804193,0.075287587,0,0,0,-0.621937618,0,0.019091886
20,2,8,58,0.0018,0.012,0.000125746,0.09,0.05,0,0.000837177,0.083333333,0,361.3804193,490.6944154,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998438612,0.998438612,0.999275182,0.016418691,361.3804193,0.045422222,0.19792111,0.302407389,0,0.018504379,0,360.8161642,0.075170034,0,0,0,-0.620920755,0,0.019283822
21,2,9,58,0.0018,0.012,0.000125619,0.09,0.05,0,0.000837177,0.083333333,0,360.8161642,489.928251,-4.524316003,-0.414074864,0.000599147,0,0,0,0.071428571,0.998438738,0.998438738,0.999275309,0.01640679,360.8161642,0.04530567,0.197612095,0.301935238,0,0.018475488,0,360.2528357,0.075052674,0,0,0,-0.619905676,0,0.019477692
