Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
1,1,1,57,86.80647933,112.84842310,0.00011390,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040421456,0.00983436,0.00000000,0.46079773,0.00000000,0.00000000,0.00000000,86.33584724,-5.41321857,-0.34715163,0.08333333,0.000000000,0.000315084
2,1,2,57,86.33584724,112.83557020,0.00011378,0.00026288,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040406232,0.00977015,0.02054110,0.46074524,0.00203154,0.00000000,0.00000000,85.84275921,-5.41321857,-0.34715163,0.08333333,0.000000000,0.001036263
3,1,3,57,85.84275921,112.79307340,0.00011367,0.00026077,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040391104,0.00970430,0.02025967,0.46057172,0.00200370,0.00000000,0.00000000,85.35021983,-5.41321857,-0.35517970,0.08333333,0.000000000,0.001036273
4,1,4,57,85.35021983,112.75084292,0.00011355,0.00025866,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040376071,0.00963863,0.01997983,0.46039928,0.00197603,0.00000000,0.00000000,84.85822607,-5.41321857,-0.36329391,0.08333333,0.000000000,0.001036204
5,1,5,57,84.85822607,112.70887906,0.00011344,0.00025654,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040361133,0.00957315,0.01970159,0.46022792,0.00194851,0.00000000,0.00000000,84.36677489,-5.41321857,-0.37149566,0.08333333,0.000000000,0.001036056
6,1,6,57,84.36677489,112.66718212,0.00011332,0.00025442,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040346292,0.00950785,0.01942497,0.46005766,0.00192115,0.00000000,0.00000000,83.87586326,-5.41321857,-0.37978638,0.08333333,0.000000000,0.001035827
7,1,7,57,83.87586326,112.62575243,0.00011321,0.00025230,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040331546,0.00944273,0.01914997,0.45988849,0.00189395,0.00000000,0.00000000,83.38548812,-5.41321857,-0.38816752,0.08333333,0.000000000,0.001035516
8,1,8,57,83.38548812,112.58459026,0.00011310,0.00025016,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040316897,0.00937780,0.01887659,0.45972041,0.00186692,0.00000000,0.00000000,82.89564641,-5.41321857,-0.39664056,0.08333333,0.000000000,0.001035124
9,1,9,57,82.89564641,112.54369592,0.00011298,0.00024803,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040302343,0.00931304,0.01860485,0.45955343,0.00184004,0.00000000,0.00000000,82.40633506,-5.41321857,-0.40520703,0.08333333,0.000000000,0.001034648
10,1,10,57,82.40633506,112.50306970,0.00011287,0.00024589,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0040287885,0.00924847,0.01833474,0.45938753,0.00181333,0.00000000,0.00000000,81.91755098,-5.41321857,-0.41386849,0.08333333,0.000000000,0.001034089
