Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,77,0.01612,0.013,0.001139075,0.09,0,0,0,0.083333333,8884.191306,8884.191306,11549.4487,-5.012775511,-0.347151629,0,0,0,0,0.076923077,0.998860925,0.998860925,0.998860925,0.387622541,8884.191306,10.11975767,0,0,0,0,0,8874.071549,1.848764906,509.8256259,0.580729479,0,8362.977887,0,0.322506758
2,1,2,77,0.01612,0.013,0.001137825,0.09,0,0,0,0.083333333,,8874.071549,11536.29301,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998470004,0.998470004,0.998470004,0.38718101,8874.071549,10.09419754,3.169619306,0,0,0.313478832,0,8860.494253,1.845936303,0,0.779142752,0,-14.33061039,0,0.432695106
3,1,3,77,0.01612,0.013,0.001136578,0.09,0,0,0,0.083333333,,8860.494253,11518.64253,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998471251,0.998471251,0.998471251,0.386588624,8860.494253,10.06770102,3.164770061,0,0,0.312999237,0,8846.948783,1.84311433,0,0.777316432,0,-14.29826898,0,0.436737968
4,1,4,77,0.01612,0.013,0.001135331,0.09,0,0,0,0.083333333,,8846.948783,11501.03342,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998472497,0.998472497,0.998472497,0.385997627,8846.948783,10.04128668,3.159932182,0,0,0.312520765,0,8833.435043,1.840298967,0,0.775495544,0,-14.26602229,0,0.44081926
5,1,5,77,0.01612,0.013,0.001134086,0.09,0,0,0,0.083333333,,8833.435043,11483.46556,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998473742,0.998473742,0.998473742,0.385408015,8833.435043,10.01495422,3.155105637,0,0,0.312043415,0,8819.95294,1.837490196,0,0.773680068,0,-14.23386998,0,0.444939351
6,1,6,77,0.01612,0.013,0.001132842,0.09,0,0,0,0.083333333,,8819.95294,11465.93882,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998474985,0.998474985,0.998474985,0.384819783,8819.95294,9.988703337,3.15029039,0,0,0.311567181,0,8806.502379,1.834687996,0,0.771869988,0,-14.20181173,0,0.449098615
7,1,7,77,0.01612,0.013,0.0011316,0.09,0,0,0,0.083333333,,8806.502379,11448.45309,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998476227,0.998476227,0.998476227,0.384232927,8806.502379,9.962533741,3.145486409,0,0,0.311092062,0,8793.083267,1.831892347,0,0.385032641,0,-14.55487986,0,0.453297432
8,1,8,77,0.01612,0.013,0.001130359,0.09,0,0,0,0.083333333,,8793.083267,11431.00825,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998477467,0.998477467,0.998477467,0.383647443,8793.083267,9.936445142,3.14069366,0,0,0.310618054,0,8779.69551,1.829103231,0,0.384132966,0,-14.52210907,0,0.457536182
9,1,9,77,0.01612,0.013,0.001129119,0.09,0,0,0,0.083333333,,8779.69551,11413.60416,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998478706,0.998478706,0.998478706,0.383063327,8779.69551,9.910437248,3.13591211,0,0,0.310145154,0,8766.339015,1.826320628,0,0.38323596,0,-14.48943403,0,0.461815251
10,1,10,77,0.01612,0.013,0.001127881,0.09,0,0,0,0.083333333,,8766.339015,11396.24072,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998479944,0.998479944,0.998479944,0.382480575,8766.339015,9.884509768,3.131141725,0,0,0.309673357,0,8753.01369,1.823544519,0,0.382341614,0,-14.4568544,0,0.466135028
11,1,11,77,0.01612,0.013,0.001126644,0.09,0,0,0,0.083333333,,8753.01369,11378.9178,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.998481181,0.998481181,0.998481181,0.381899184,8753.01369,9.858662415,3.126382473,0,0,0.309202662,0,8739.719443,1.820774884,0,0.381449917,0,-14.42436985,0,0.470495906
