Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,0,0,0.083333333,10160.23568,10160.23568,13208.30638,-5.012775511,-0.347151629,0,0,0,0,0.076923077,0.999886105,0.999886105,0.999886105,0.473165516,10160.23568,1.157202396,0,0,0,0,0,10159.07848,2.116474682,1022.119709,0.116414561,0,9134.958706,0,0.036878906
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,0,0,0.083333333,,10159.07848,13206.80202,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493647,0.999493647,0.999493647,0.473111624,10159.07848,1.155804415,3.629334246,0,0,0.358945145,0,10153.93439,2.115402998,0,0.517494831,0,-6.383046828,0,0.163936909
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,0,0,0.083333333,,10153.93439,13200.11471,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493761,0.999493761,0.999493761,0.472872063,10153.93439,1.1540569,3.62749677,0,0,0.358763417,0,10148.79407,2.114332099,0,0.517115899,0,-6.37876987,0,0.165735968
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,0,0,0.083333333,,10148.79407,13193.4323,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493875,0.999493875,0.999493875,0.472632676,10148.79407,1.15231216,3.625660639,0,0,0.358581821,0,10143.65752,2.113261983,0,0.516737395,0,-6.374497388,0,0.16755482
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,0,0,0.083333333,,10143.65752,13186.75478,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.99949399,0.99949399,0.99949399,0.472393465,10143.65752,1.15057019,3.623825852,0,0,0.358400359,0,10138.52472,2.112192651,0,0.516359318,0,-6.370229375,0,0.169393681
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,0,0,0.083333333,,10138.52472,13180.08214,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494104,0.999494104,0.999494104,0.472154429,10138.52472,1.148830986,3.621992408,0,0,0.358219029,0,10133.39568,2.1111241,0,0.515981668,0,-6.365965826,0,0.171252773
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,0,0,0.083333333,,10133.39568,13173.41439,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494218,0.999494218,0.999494218,0.471915568,10133.39568,1.147094542,3.620160304,0,0,0.358037832,0,10128.27039,2.110056331,0,0.257802222,0,-6.619508955,0,0.173132318
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,0,0,0.083333333,,10128.27039,13166.7515,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494332,0.999494332,0.999494332,0.471676882,10128.27039,1.145360854,3.618329539,0,0,0.357856768,0,10123.14884,2.108989342,0,0.257613822,0,-6.615065913,0,0.175032543
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,0,0,0.083333333,,10123.14884,13160.09349,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494445,0.999494445,0.999494445,0.471438369,10123.14884,1.143629917,3.616500112,0,0,0.357675835,0,10118.03104,2.107923132,0,0.257425635,0,-6.610627526,0,0.176953676
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,0,0,0.083333333,,10118.03104,13153.44035,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494559,0.999494559,0.999494559,0.471200032,10118.03104,1.141901727,3.614672021,0,0,0.357495035,0,10112.91697,2.106857701,0,0.25723766,0,-6.606193789,0,0.178895946
