Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
1,1,1,57,10160.23568000,13208.30638000,0.00011390,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4731116247,1.15720240,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10159.07847760,-5.01277551,-0.34715163,0.08333333,0.000000000,0.036878906
2,1,2,57,10159.07847760,13206.80201689,0.00011378,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4728720630,1.15580441,3.62933425,0.00000000,0.35894515,0.00000000,0.00000000,10153.93439380,-5.01277551,-0.34715163,0.08333333,0.000000000,0.163936909
3,1,3,57,10153.93439380,13200.11470794,0.00011367,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4726326768,1.15405690,3.62749677,0.00000000,0.35876342,0.00000000,0.00000000,10148.79407671,-5.01277551,-0.34715163,0.08333333,0.000000000,0.165735969
4,1,4,57,10148.79407671,13193.43229572,0.00011355,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4723934657,1.15231216,3.62566064,0.00000000,0.35858182,0.00000000,0.00000000,10143.65752208,-5.01277551,-0.34715163,0.08333333,0.000000000,0.167554820
5,1,5,57,10143.65752208,13186.75477471,0.00011344,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4721544297,1.15057019,3.62382585,0.00000000,0.35840036,0.00000000,0.00000000,10138.52472568,-5.01277551,-0.34715163,0.08333333,0.000000000,0.169393681
6,1,6,57,10138.52472568,13180.08213939,0.00011332,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4719155685,1.14883099,3.62199241,0.00000000,0.35821903,0.00000000,0.00000000,10133.39568325,-5.01277551,-0.34715163,0.08333333,0.000000000,0.171252773
7,1,7,57,10133.39568325,13173.41438424,0.00011321,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4716768820,1.14709454,3.62016031,0.00000000,0.35803783,0.00000000,0.00000000,10128.27039057,-5.01277551,-0.34715163,0.08333333,0.000000000,0.173132318
8,1,8,57,10128.27039057,13166.75150375,0.00011310,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4714383698,1.14536085,3.61832954,0.00000000,0.35785677,0.00000000,0.00000000,10123.14884341,-5.01277551,-0.34715163,0.08333333,0.000000000,0.175032543
9,1,9,57,10123.14884341,13160.09349244,0.00011298,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4712000319,1.14362992,3.61650011,0.00000000,0.35767584,0.00000000,0.00000000,10118.03103754,-5.01277551,-0.34715163,0.08333333,0.000000000,0.176953676
10,1,10,57,10118.03103754,13153.44034482,0.00011287,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4709618681,1.14190173,3.61467202,0.00000000,0.35749504,0.00000000,0.00000000,10112.91696875,-5.01277551,-0.34715163,0.08333333,0.000000000,0.178895946
11,1,11,57,10112.91696875,13146.79205540,0.00011275,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.4707238780,1.14017628,3.61284527,0.00000000,0.35731437,0.00000000,0.00000000,10107.80663284,-5.01277551,-0.34715163,0.08333333,0.000000000,0.180859587
12,1,12,57,10107.80663284,13140.14861872,0.00011264,0.00039262,0.00000000,0.00500000,0.00000000,0.09000000,0.00000000,0.4704860617,1.13801231,3.60962024,0.00000000,0.35699541,65.66952943,0.00000000,10037.03247545,-5.01277551,-0.34715163,0.08333333,0.000000000,2.534106998
13,2,1,58,10037.03247545,14143.78003156,0.00012664,0.00064076,0.00083718,0.00000000,0.03780000,0.09000000,0.05000000,0.4701250499,1.31849093,6.10104237,8.71646915,0.57040910,0.00000000,379.39982757,10399.72589148,-4.52431600,-0.34715163,0.08333333,47.424978447,48.008125255
14,2,2,58,10399.72589148,14121.09550742,0.00012651,0.00056449,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,0.4698002279,1.31508545,5.36633194,8.70271275,0.50171830,0.00000000,0.00000000,10383.84004305,-4.52431600,-0.47346800,0.08333333,0.000000000,0.506266419
15,2,3,58,10383.84004305,14099.52517131,0.00012638,0.00059915,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,0.4694594105,1.31173979,5.68702732,8.68931606,0.53170130,0.00000000,0.00000000,10367.62025859,-4.52431600,-0.41407486,0.08333333,0.000000000,0.522964175
16,2,4,58,10367.62025859,14077.50140570,0.00012625,0.00059915,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,0.4691189000,1.30837306,5.67814452,8.67574386,0.53087081,0.00000000,0.00000000,10351.42712634,-4.52431600,-0.41407486,0.08333333,0.000000000,0.528221260
