Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,0,0,0.083333333,222602.2512,222602.2512,289382.9265,-5.759711606,-0.347151629,0,0,0,0,0.076923077,0.999886105,0.999886105,0.999886105,2.194709035,222602.2512,25.35333495,0,0,0,0,0,222576.8978,46.37018705,22393.78647,2.550545496,0,200139.2917,0,0.807985936
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,0,0,0.083333333,0,222576.8978,289349.9672,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999700423,0.999700423,0.999700423,2.194459068,222576.8978,25.32315326,37.63365299,0,0,3.722009636,0,222510.219,46.35629563,0,6.707888877,0,-102.605213,0,2.124988509
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,0,0,0.083333333,0,222510.219,289263.2847,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999700538,0.999700538,0.999700538,2.19380166,222510.219,25.29009635,37.62238049,0,0,3.720894773,0,222443.5857,46.34241368,0,6.703317183,0,-102.5515733,0,2.148417342
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,0,0,0.083333333,0,222443.5857,289176.6614,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999700652,0.999700652,0.999700652,2.193144699,222443.5857,25.2570855,37.61111567,0,0,3.71978067,0,222376.9977,46.32854118,0,6.698750972,0,-102.4979914,0,2.172105255
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,0,0,0.083333333,0,222376.9977,289090.097,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999700767,0.999700767,0.999700767,2.192488187,222376.9977,25.22412064,37.59985852,0,0,3.718667326,0,222310.455,46.31467813,0,6.694190236,0,-102.4444671,0,2.19605512
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,0,0,0.083333333,0,222310.455,289003.5915,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999700881,0.999700881,0.999700881,2.191832121,222310.455,25.1912017,37.58860904,0,0,3.71755474,0,222243.9577,46.30082451,0,6.689634967,0,-102.3910003,0,2.220269843
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,0,0,0.083333333,0,222243.9577,288917.145,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999700995,0.999700995,0.999700995,2.191176501,222243.9577,25.1583286,37.57736721,0,0,3.716442911,0,222177.5055,46.28698032,0,3.342542578,0,-105.6801336,0,2.244752361
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,0,0,0.083333333,0,222177.5055,288830.7572,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999701109,0.999701109,0.999701109,2.190521328,222177.5055,25.12550129,37.56613303,0,0,3.715331838,0,222111.0986,46.27314553,0,3.340270398,0,-105.6245095,0,2.269505643
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,0,0,0.083333333,0,222111.0986,288744.4281,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999701222,0.999701222,0.999701222,2.189866599,222111.0986,25.09271968,37.55490648,0,0,3.71422152,0,222044.7367,46.25932015,0,3.338000939,0,-105.5689454,0,2.294532694
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,0,0,0.083333333,0,222044.7367,288658.1577,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999701336,0.999701336,0.999701336,2.189212316,222044.7367,25.05998371,37.54368756,0,0,3.713111957,0,221978.4199,46.24550415,0,3.335734197,0,-105.5134412,0,2.319836548
11,1,11,57,0.0015996,0.012,0.000112754,0.09,0,0,0,0.083333333,0,221978.4199,288571.9459,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999701449,0.999701449,0.999701449,2.188558477,221978.4199,25.02729331,37.53247626,0,0,3.712003147,0,221912.1482,46.23169753,0,3.333470168,0,-105.4579969,0,2.345420276
