Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
1,1,1,77,8884.19130600,11549.44870000,0.00113907,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3871810100,10.11975767,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8874.07154833,-5.01277551,-0.34715163,0.08333333,0.000000000,0.322506758
2,1,2,77,8874.07154833,11536.29301502,0.00113783,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3865886245,10.09419754,3.16961931,0.00000000,0.31347883,0.00000000,0.00000000,8860.49425265,-5.01277551,-0.34715163,0.08333333,0.000000000,0.432695106
3,1,3,77,8860.49425265,11518.64253064,0.00113658,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3859976276,10.06770102,3.16477006,0.00000000,0.31299924,0.00000000,0.00000000,8846.94878233,-5.01277551,-0.34715163,0.08333333,0.000000000,0.436737968
4,1,4,77,8846.94878233,11501.03341922,0.00113533,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3854080151,10.04128668,3.15993218,0.00000000,0.31252077,0.00000000,0.00000000,8833.43504270,-5.01277551,-0.34715163,0.08333333,0.000000000,0.440819260
5,1,5,77,8833.43504270,11483.46555770,0.00113409,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3848197829,10.01495422,3.15510564,0.00000000,0.31204341,0.00000000,0.00000000,8819.95293943,-5.01277551,-0.34715163,0.08333333,0.000000000,0.444939351
6,1,6,77,8819.95293943,11465.93882345,0.00113284,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3842329270,9.98870334,3.15029039,0.00000000,0.31156718,0.00000000,0.00000000,8806.50237853,-5.01277551,-0.34715163,0.08333333,0.000000000,0.449098615
7,1,7,77,8806.50237853,11448.45309427,0.00113160,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3836474431,9.96253374,3.14548641,0.00000000,0.31109206,0.00000000,0.00000000,8793.08326632,-5.01277551,-0.34715163,0.08333333,0.000000000,0.453297432
8,1,8,77,8793.08326632,11431.00824839,0.00113036,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3830633274,9.93644514,3.14069366,0.00000000,0.31061805,0.00000000,0.00000000,8779.69550946,-5.01277551,-0.34715163,0.08333333,0.000000000,0.457536182
9,1,9,77,8779.69550946,11413.60416447,0.00112912,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3824805756,9.91043725,3.13591211,0.00000000,0.31014515,0.00000000,0.00000000,8766.33901495,-5.01277551,-0.34715163,0.08333333,0.000000000,0.461815251
10,1,10,77,8766.33901495,11396.24072161,0.00112788,0.00039262,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.3818991837,9.88450977,3.13114172,0.00000000,0.30967336,0.00000000,0.00000000,8753.01369010,-5.01277551,-0.34715163,0.08333333,0.000000000,0.466135028
