Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,77,0.01612,0.013,0.001139075,0.09,0,1,0,0.083333333,35197.91132,35197.91132,45757.28471,-6.210910968,-0.347151629,0,0,0,284.0764759,0.076923077,0.998860925,0.998860925,0.998860925,0.072922627,34913.83484,39.76946644,0,284.0764759,0,0,0,34874.06537,7.265430286,2019.857131,2.300768185,0,32849.24358,0,1.277726232
2,1,2,77,0.01612,0.013,0.001137825,0.09,0,1,0,0.083333333,,34874.06537,45705.16375,-6.210910968,-0.347151629,0.000118296,0,0,283.7528916,0.076923077,0.998744013,0.998744013,0.998744013,0.072839563,34590.31248,39.35352202,3.723233206,283.7528916,0,0.368231856,0,34546.8675,7.197264062,0,2.534024814,0,-331.4928861,0,1.395906956
3,1,3,77,0.01612,0.013,0.001136578,0.09,0,1,0,0.083333333,,34546.8675,45647.75865,-6.210910968,-0.359391562,0.000116856,0,0,283.3965016,0.076923077,0.998746699,0.998746699,0.998746699,0.072748078,34263.47099,38.93896902,3.643161756,283.3965016,0,0.360312701,0,34220.52855,7.129276781,0,2.525429571,0,-330.5824796,0,1.396017721
4,1,4,77,0.01612,0.013,0.001135331,0.09,0,1,0,0.083333333,,34220.52855,45590.54827,-6.210910968,-0.371832309,0.000115411,0,0,283.0413205,0.076923077,0.998749389,0.998749389,0.998749389,0.072656902,33937.48723,38.52625132,3.563862194,283.0413205,0,0.352469887,0,33895.04465,7.061467635,0,2.516850093,0,-329.6760515,0,1.396027117
5,1,5,77,0.01612,0.013,0.001134086,0.09,0,1,0,0.083333333,,33895.04465,45533.53224,-6.210910968,-0.384478853,0.000113959,0,0,282.687346,0.076923077,0.998752084,0.998752084,0.998752084,0.072566037,33612.3573,38.11535992,3.485338187,282.687346,0,0.344703777,0,33570.4119,6.993835812,0,2.508286479,0,-328.7735934,0,1.395933616
6,1,6,77,0.01612,0.013,0.001132842,0.09,0,1,0,0.083333333,,33570.4119,45476.71021,-6.210910968,-0.397336343,0.000112502,0,0,282.3345759,0.076923077,0.998754783,0.998754783,0.998754783,0.072475481,33288.07732,37.70628582,3.407593458,282.3345759,0,0.337014738,0,33246.62643,6.926380506,0,2.499738837,0,-327.8750968,0,1.39573568
7,1,7,77,0.01612,0.013,0.0011316,0.09,0,1,0,0.083333333,,33246.62643,45420.08182,-6.210910968,-0.410410102,0.00011104,0,0,281.983008,0.076923077,0.998757485,0.998757485,0.998757485,0.072385233,32964.64342,37.29902009,3.330631794,281.983008,0,0.329403144,0,32923.68437,6.859100909,0,1.245603643,0,-328.2261571,0,1.395431761
8,1,8,77,0.01612,0.013,0.001130359,0.09,0,1,0,0.083333333,,32923.68437,45363.6467,-6.210910968,-0.423705633,0.000109573,0,0,281.6326399,0.076923077,0.998760192,0.998760192,0.998760192,0.072295293,32642.05173,36.89355381,3.254457038,281.6326399,0,0.321869377,0,32601.58185,6.791996218,0,1.241345977,0,-327.331301,0,1.395020299
9,1,9,77,0.01612,0.013,0.001129119,0.09,0,1,0,0.083333333,,32601.58185,45307.40448,-6.210910968,-0.437228627,0.0001081,0,0,281.2834695,0.076923077,0.998762902,0.998762902,0.998762902,0.072205661,32320.29838,36.4898781,3.179073093,281.2834695,0,0.314413822,0,32280.31501,6.725065627,0,1.237096491,0,-326.4403898,0,1.394499728
10,1,10,77,0.01612,0.013,0.001127881,0.09,0,1,0,0.083333333,,32280.31501,45251.3548,-6.210910968,-0.45098497,0.000106622,0,0,280.9354944,0.076923077,0.998765617,0.998765617,0.998765617,0.072116335,31999.37952,36.08798414,3.104483921,280.9354944,0,0.307036871,0,31959.88001,6.658308336,0,1.232855261,0,-325.5534155,0,1.393868467
