Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,0,0,0.083333333,2481.134003,2481.134003,3225.474204,-5.548301935,-0.347151629,0,0,0,0,0.076923077,0.999886105,0.999886105,0.999886105,0.049357974,2481.134003,0.282589332,0,0,0,0,0,2480.851414,0.516844045,249.6020807,0.028428487,0,2230.760918,0,0.009005845
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,0,0,0.083333333,0,2480.851414,3225.106838,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999656628,0.999656628,0.999656628,0.049352352,2480.851414,0.28225137,0.5183383,0,0,0.051264228,0,2479.99956,0.516666575,0,0.085696502,0,-1.231559743,0,0.027147749
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,0,0,0.083333333,0,2479.99956,3223.999428,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999656743,0.999656743,0.999656743,0.049335406,2479.99956,0.281870571,0.518160344,0,0,0.051246627,0,2479.148282,0.516489226,0,0.085638521,0,-1.23088162,0,0.027447199
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,0,0,0.083333333,0,2479.148282,3222.892767,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999656857,0.999656857,0.999656857,0.049318472,2479.148282,0.281490319,0.517982509,0,0,0.051229039,0,2478.297581,0.516311996,0,0.085580608,0,-1.230204216,0,0.027749962
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,0,0,0.083333333,0,2478.297581,3221.786855,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999656971,0.999656971,0.999656971,0.049301548,2478.297581,0.281110612,0.517804793,0,0,0.051211463,0,2477.447454,0.516134886,0,0.085522763,0,-1.229527528,0,0.028056075
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,0,0,0.083333333,0,2477.447454,3220.68169,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999657086,0.999657086,0.999657086,0.049284636,2477.447454,0.280731449,0.517627198,0,0,0.051193899,0,2476.597901,0.515957896,0,0.085464986,0,-1.228851557,0,0.028365573
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,0,0,0.083333333,0,2476.597901,3219.577272,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.9996572,0.9996572,0.9996572,0.049267736,2476.597901,0.280352831,0.517449722,0,0,0.051176346,0,2475.748922,0.515781025,0,0.042703639,0,-1.27087994,0,0.028678496
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,0,0,0.083333333,0,2475.748922,3218.473599,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999657313,0.999657313,0.999657313,0.049250847,2475.748922,0.279974754,0.517272367,0,0,0.051158806,0,2474.900516,0.515604274,0,0.042674818,0,-1.270176577,0,0.02899488
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,0,0,0.083333333,0,2474.900516,3217.370671,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999657427,0.999657427,0.999657427,0.049233969,2474.900516,0.27959722,0.517095131,0,0,0.051141277,0,2474.052683,0.515427642,0,0.042646031,0,-1.269473962,0,0.029314765
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,0,0,0.083333333,0,2474.052683,3216.268488,-5.548301935,-0.347151629,0.000229617,0,0,0,0.076923077,0.999657541,0.999657541,0.999657541,0.049217103,2474.052683,0.279220227,0.516918015,0,0,0.05112376,0,2473.205421,0.515251129,0,0.042617279,0,-1.268772092,0,0.029638189
