Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0025632,0.014,0.000177793,0.09,0,0,0,0.083333333,803.7831322,803.7831322,1044.918072,-5.744810294,-0.347151629,0,0,0,0,0.076923077,0.999822207,0.999822207,0.999822207,0.003811334,803.7831322,0.142907299,0,0,0,0,0,803.6402249,0.167425047,80.8605831,0.014376474,0,722.6265932,0,0.004554316
2,1,2,57,0.0025632,0.014,0.000177584,0.09,0,0,0,0.083333333,0,803.6402249,1044.732292,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.99963384,0.99963384,0.99963384,0.003810657,803.6402249,0.142700899,0.137919955,0,0,0.013640435,0,803.3459636,0.167363742,0,0.029602686,0,-0.418381911,0,0.009377819
3,1,3,57,0.0025632,0.014,0.000177376,0.09,0,0,0,0.083333333,0,803.3459636,1044.349753,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999634048,0.999634048,0.999634048,0.003809261,803.3459636,0.142480991,0.137869462,0,0,0.013635441,0,803.0519777,0.167302495,0,0.029574981,0,-0.418077967,0,0.0094788
4,1,4,57,0.0025632,0.014,0.000177167,0.09,0,0,0,0.083333333,0,803.0519777,1043.967571,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999634257,0.999634257,0.999634257,0.003807867,803.0519777,0.142261451,0.137819016,0,0,0.013630452,0,802.7582668,0.167241306,0,0.029547319,0,-0.417774455,0,0.009580874
5,1,5,57,0.0025632,0.014,0.000176959,0.09,0,0,0,0.083333333,0,802.7582668,1043.585747,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999634465,0.999634465,0.999634465,0.003806475,802.7582668,0.14204228,0.137768617,0,0,0.013625468,0,802.4648304,0.167180173,0,0.029519698,0,-0.417471372,0,0.009684052
6,1,6,57,0.0025632,0.014,0.000176751,0.09,0,0,0,0.083333333,0,802.4648304,1043.20428,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999634673,0.999634673,0.999634673,0.003805083,802.4648304,0.141823476,0.137718266,0,0,0.013620488,0,802.1716682,0.167119098,0,0.02949212,0,-0.417168719,0,0.009788347
7,1,7,57,0.0025632,0.014,0.000176543,0.09,0,0,0,0.083333333,0,802.1716682,1042.823169,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999634881,0.999634881,0.999634881,0.003803693,802.1716682,0.141605039,0.137667961,0,0,0.013615513,0,801.8787797,0.167058079,0,0.014732292,0,-0.431598787,0,0.00989377
8,1,8,57,0.0025632,0.014,0.000176336,0.09,0,0,0,0.083333333,0,801.8787797,1042.442414,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999635088,0.999635088,0.999635088,0.003802304,801.8787797,0.141386968,0.137617704,0,0,0.013610542,0,801.5861644,0.166997118,0,0.014718545,0,-0.431283244,0,0.010000335
9,1,9,57,0.0025632,0.014,0.000176128,0.09,0,0,0,0.083333333,0,801.5861644,1042.062014,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999635295,0.999635295,0.999635295,0.003800917,801.5861644,0.141169262,0.137567493,0,0,0.013605576,0,801.2938221,0.166936213,0,0.014704819,0,-0.430968149,0,0.010108052
10,1,10,57,0.0025632,0.014,0.000175921,0.09,0,0,0,0.083333333,0,801.2938221,1041.681969,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999635502,0.999635502,0.999635502,0.003799531,801.2938221,0.140951921,0.137517329,0,0,0.013600615,0,801.0017522,0.166875365,0,0.014691114,0,-0.430653501,0,0.010216936
