Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
1,1,1,77,35197.91132000,45757.28471000,0.00113907,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0728395627,39.76946644,0.00000000,284.07647591,0.00000000,0.00000000,0.00000000,34874.06537765,-6.21091097,-0.34715163,0.08333333,0.000000000,1.277726232
2,1,2,77,34874.06537765,45705.16374400,0.00113783,0.00011830,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0727480771,39.35352203,3.72323321,283.75289158,0.36823186,0.00000000,0.00000000,34546.86749898,-6.21091097,-0.34715163,0.08333333,0.000000000,1.395906957
3,1,3,77,34546.86749898,45647.75864685,0.00113658,0.00011686,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0726569019,38.93896902,3.64316176,283.39650160,0.36031270,0.00000000,0.00000000,34220.52855390,-6.21091097,-0.35939156,0.08333333,0.000000000,1.396017721
4,1,4,77,34220.52855390,45590.54826394,0.00113533,0.00011541,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0725660364,38.52625133,3.56386220,283.04132047,0.35246989,0.00000000,0.00000000,33895.04465002,-6.21091097,-0.37183231,0.08333333,0.000000000,1.396027117
5,1,5,77,33895.04465002,45533.53223815,0.00113409,0.00011396,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0724754801,38.11535992,3.48533819,282.68734598,0.34470378,0.00000000,0.00000000,33570.41190216,-6.21091097,-0.38447885,0.08333333,0.000000000,1.395933616
6,1,6,77,33570.41190216,45476.71021011,0.00113284,0.00011250,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0723852323,37.70628583,3.40759346,282.33457589,0.33701474,0.00000000,0.00000000,33246.62643224,-6.21091097,-0.39733634,0.08333333,0.000000000,1.395735681
7,1,7,77,33246.62643224,45420.08181800,0.00113160,0.00011104,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0722952926,37.29902009,3.33063180,281.98300795,0.32940314,0.00000000,0.00000000,32923.68436926,-6.21091097,-0.41041010,0.08333333,0.000000000,1.395431761
8,1,8,77,32923.68436926,45363.64669729,0.00113036,0.00010957,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0722056603,36.89355381,3.25445704,281.63263991,0.32186938,0.00000000,0.00000000,32601.58184912,-6.21091097,-0.42370563,0.08333333,0.000000000,1.395020300
9,1,9,77,32601.58184912,45307.40448054,0.00112912,0.00010810,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0721163349,36.48987811,3.17907309,281.28346948,0.31441382,0.00000000,0.00000000,32280.31501461,-6.21091097,-0.43722863,0.08333333,0.000000000,1.394499728
10,1,10,77,32280.31501461,45251.35479713,0.00112788,0.00010662,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0720273157,36.08798414,3.10448392,280.93549437,0.30703687,0.00000000,0.00000000,31959.88001531,-6.21091097,-0.45098497,0.08333333,0.000000000,1.393868467
11,1,11,77,31959.88001531,45195.49727305,0.00112664,0.00010514,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0719386021,35.68786311,3.03069354,280.58871224,0.29973892,0.00000000,0.00000000,31640.27300750,-6.21091097,-0.46498076,0.08333333,0.000000000,1.393124931
