Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,67,0.006992267,0.015,0.000479408,0.09,0,0,0,0.083333333,862512.4062,862512.4062,1121266.128,-5.744810294,-0.347151629,0,0,0,0,0.076923077,0.999520592,0.999520592,0.999520592,3.941463896,862512.4062,413.4956134,0,0,0,0,0,862098.9106,179.6039397,86768.74806,41.59765871,0,775192.1562,0,13.17769993
2,1,2,67,0.006992267,0.015,0.000478803,0.09,0,0,0,0.083333333,,862098.9106,1120728.584,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999332677,0.999332677,0.999332677,3.939574326,862098.9106,412.7199473,147.946091,0,0,14.63203097,0,861523.6125,179.4840859,0,57.87498576,0,-682.2751384,0,18.33418561
3,1,3,67,0.006992267,0.015,0.000478199,0.09,0,0,0,0.083333333,,861523.6125,1119980.696,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999333282,0.999333282,0.999333282,3.936945359,861523.6125,411.9240472,147.8473703,0,0,14.6222674,0,860949.2188,179.3644206,0,57.7840047,0,-681.3518334,0,18.51980958
4,1,4,67,0.006992267,0.015,0.000477596,0.09,0,0,0,0.083333333,,860949.2188,1119233.984,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999333885,0.999333885,0.999333885,3.934320525,860949.2188,411.1299322,147.7488049,0,0,14.61251917,0,860375.7276,179.2449432,0,57.69322038,0,-680.43046,0,18.70733032
5,1,5,67,0.006992267,0.015,0.000476993,0.09,0,0,0,0.083333333,,860375.7276,1118488.446,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999334488,0.999334488,0.999334488,3.931699815,860375.7276,410.3375976,147.6503943,0,0,14.60278625,0,859803.1368,179.1256535,0,57.60263228,0,-679.5110131,0,18.89676736
6,1,6,67,0.006992267,0.015,0.000476391,0.09,0,0,0,0.083333333,,859803.1368,1117744.078,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999335089,0.999335089,0.999335089,3.929083219,859803.1368,409.5470387,147.5521383,0,0,14.59306862,0,859231.4446,179.0065509,0,57.51223991,0,-678.593488,0,19.08814046
7,1,7,67,0.006992267,0.015,0.00047579,0.09,0,0,0,0.083333333,,859231.4446,1117000.878,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.99933569,0.99933569,0.99933569,3.92647073,859231.4446,408.7582507,147.4540365,0,0,14.58336624,0,858660.6489,178.8876352,0,28.71102137,0,-706.388901,0,19.28146957
8,1,8,67,0.006992267,0.015,0.000475189,0.09,0,0,0,0.083333333,,858660.6489,1116258.844,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999336291,0.999336291,0.999336291,3.923862338,858660.6489,407.9712291,147.3560885,0,0,14.57367908,0,858090.7479,178.7689058,0,28.66602013,0,-705.4302033,0,19.47677485
9,1,9,67,0.006992267,0.015,0.00047459,0.09,0,0,0,0.083333333,,858090.7479,1115517.972,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.99933689,0.99933689,0.99933689,3.921258034,858090.7479,407.1859692,147.258294,0,0,14.5640071,0,857521.7396,178.6503624,0,28.62111599,0,-704.4735096,0,19.67407667
10,1,10,67,0.006992267,0.015,0.000473991,0.09,0,0,0,0.083333333,,857521.7396,1114778.262,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999337489,0.999337489,0.999337489,3.91865781,857521.7396,406.4024662,147.1606527,0,0,14.55435027,0,856953.6222,178.5320046,0,28.5763087,0,-703.5188149,0,19.8733956
11,1,11,67,0.006992267,0.015,0.000473393,0.09,0,0,0,0.083333333,,856953.6222,1114039.709,-5.744810294,-0.347151629,0.00018861,0,0,0,0.076923077,0.999338087,0.999338087,0.999338087,3.916061657,856953.6222,405.6207156,147.0631644,0,0,14.54470856,0,856386.3936,178.413832,0,28.531598,0,-702.5661139,0,20.07475246
12,1,12,67,0.006992267,0.015,0.000472795,0.09,0,0,0,0.083333333,,856386.3936,1113302.312,-5.744810294,-0.347151629,0.00018861,0.005,0,0,0.076923077,0.992842983,0.999338684,0.999338684,3.913469566,856386.3936,404.6472271,146.8955891,0,5563.101009,14.52813518,0,850257.2216,177.1369212,0,28.48698364,0,-700.1927537,0,219.4583183
13,2,1,68,0.007622813,0.015,0.000514901,0.09,0.05,0,0.000837177,0.083333333,,850257.2216,1198148.073,-5.225146045,-0.347151629,0.000317365,0,0.0378,0,0.071428571,0.998331417,0.998331417,0.999167898,3.910881527,882396.9446,454.113095,255.9661066,738.3421841,0,23.93122156,32139.72298,880924.592,183.5259567,0,0,4251.286108,-5883.23345,4017.465372,4068.858678
