AttainedAge,RMDRate
73,0.0377358490566038
74,0.0392156862745098
75,0.04065040650406504
76,0.04219409282700422
77,0.04366812227074236
78,0.045454545454545456
79,0.04739336492890995
80,0.04950495049504951
81,0.051546391752577324
82,0.05405405405405406
83,0.05649717514124294
84,0.05952380952380952
85,0.0625
86,0.06578947368421052
87,0.06944444444444445
88,0.07299270072992702
89,0.07751937984496124
90,0.0819672131147541
91,0.08695652173913043
92,0.09259259259259259
93,0.09900990099009901
94,0.10526315789473684
95,0.11235955056179775
96,0.11904761904761904
97,0.12820512820512822
98,0.136986301369863
99,0.14705882352941177
100,0.15625
101,0.16666666666666666
102,0.17857142857142858
103,0.1923076923076923
104,0.2040816326530612
105,0.2173913043478261
106,0.23255813953488372
107,0.24390243902439027
108,0.25641025641025644
109,0.27027027027027023
110,0.2857142857142857
111,0.29411764705882354
112,0.30303030303030304
113,0.3225806451612903
114,0.3333333333333333
115,0.3448275862068966
116,0.35714285714285715
117,0.37037037037037035
118,0.4
119,0.4347826086956522
120,0.5
